"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Slovenia","SVN","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.3856439127375","29.9102397543404","32.0936506407168","30.6999696982815","29.2196155099381","27.7497827975673","28.2986792206094","29.1344923966081","21.9373673036093","22.20860149147","24.4482907832107","23.0170124183476","22.9388605836035","24.9263168501398","23.0921256089296","24.8628533762652","31.9839452163036","30.0117377553773","28.3507048729088","29.0424946077568","31.0149438851702","32.4720055703082","33.1841415929638","33.287700093234","34.5959402396748","34.4666682580852","34.5172125021725","35.7796591786298","45.5229034542697",
"Slovenia","SVN","Manufactures exports (% of merchandise exports)","TX.VAL.MANF.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.0085143345857","85.3931494996621","","89.5019434235871","90.1440917229562","89.2880209077681","89.903304469993","90.1878457855914","89.700613460453","89.5431543980454","89.9795071831409","89.9467896211733","90.1703561878985","89.0113058475879","87.0690171626703","87.5834799668948","86.8662544384711","86.7940547722603","84.8220130644057","83.2696495935882","82.7411432529837","82.2602391527727","82.8448735486345","83.3267926423096","84.6260310873717","84.5471626157494","83.9377634390119","84.4417521161276","87.0061672004541",
"Slovenia","SVN","Merchandise imports by the reporting economy (current US$)","TM.VAL.MRCH.WL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6866039000","8025990000","9645377000","9429381000","9357465000","10067707000","9889024695","10122012531","10151969845","10939320108","13858268990","17753345963","20287173004","24180106463","31639928699","37132171545","26596234479","30114243407","35531959547","32061622675","33370799200","33933772367","29814972449","30537436101","36077602183","42267196082","44006765919","",
"Slovenia","SVN","Fuel imports (% of merchandise imports)","TM.VAL.FUEL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7553293888956","10.7617601226232","","6.57231305299459","8.0094738511469","8.35373763154848","5.56027867986414","6.37071647281014","9.06963687845701","8.07785146815312","7.05570365741899","7.72082796264118","8.26405035032559","10.5800813631737","11.1502917645201","9.45561200832469","12.7961173554898","11.3324715973261","12.9303659504432","15.2910829290839","17.1111141764817","15.1100966023094","12.9515402208837","10.6800884156105","8.17964540842036","9.24412441281205","9.41932387627567","9.86375812672989","5.63370355762462",
"Slovenia","SVN","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14","3.49","6.01","4.71","3.88","3.54","4.21","5.73","4.22","3.47","3.9","4.31","3.3","4.26","2.57","2.54","2.64","2.68","2.75","2.53","2.37","2.44","2.78","2.3","2.28","2.21","2.76","2.73","2.48","2.48","2.46","2.55","1.71",
"Slovenia","SVN","International tourism, expenditures for travel items (current US$)","ST.INT.TVLX.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","575000000","604000000","518000000","561000000","542000000","511000000","528000000","608000000","753000000","868000000","950000000","975000000","1144000000","1358000000","1593000000","1479000000","1555000000","1359000000","1417000000","1488000000","1231000000","1305400024.41406","1506500000","1743300048.82813","1678199951.17188","817900024.414063",
"Slovenia","SVN","Completeness of birth registration (%)","SP.REG.BRTH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","100","","","100","","","",
"Slovenia","SVN","Sex ratio at birth (male births per female births)","SP.POP.BRTH.MF","","","1.054","","","","","1.054","","","","","1.078","","","","","1.069","","","","","1.055","","","","","1.055","","","1.056","","1.056","","","","","1.065","","","","","1.059","","","","","1.058","1.058","1.058","1.058","1.058","1.058","1.058","1.058","1.057","1.057","1.057","1.056","1.056","",
"Slovenia","SVN","Population ages 60-64, female (% of female population)","SP.POP.6064.FE.5Y","4.88213268164028","4.97788302041013","5.03726729593184","5.07562050871439","5.11632196083902","5.17015806995211","5.20106942704401","5.25385263389755","5.3167570272555","5.3677042370599","5.38888095660966","5.35364817960269","5.30488454371258","5.22140382709167","5.07097155851766","4.84273578498502","4.52737688663655","4.12816646036368","3.74479336136065","3.52464814238782","3.54543663814489","3.65637912819519","4.03125628192506","4.5864856535839","5.13133799827793","5.5189872910677","5.73067296513504","5.7690034748761","5.70134038134793","5.63228165494856","5.61872935645475","5.63147699757869","5.67707510609204","5.73879844878445","5.77834711355199","5.77078462217052","5.70379173574737","5.59575811283467","5.47240618318354","5.37198455367558","5.31492380669209","5.28375213471505","5.304033530873","5.35340647622495","5.39726172745385","5.41636218286684","5.40833470404399","5.36920030131223","5.33981245004192","5.38338336586177","5.53278589132322","5.76842313059197","6.1104691739862","6.49438832069546","6.82097160395686","7.03211676590387","7.14054942789897","7.14287767316597","7.07730650863543","7.00738526969166","6.97153018773558",
"Slovenia","SVN","Population ages 20-24, female (% of female population)","SP.POP.2024.FE.5Y","7.35368664291375","7.2082121306825","7.05743070098834","6.93860192047937","6.89644165222346","6.9477531880718","7.03064915912365","7.21704684320105","7.4682237450557","7.71176847090206","7.89846063480676","8.05862750166162","8.15220690389771","8.17761811061619","8.13825198867694","8.03867864658138","7.96298336454776","7.87191199288691","7.79525115768923","7.75887047634468","7.753443733653","7.66637285606823","7.59737950301275","7.54781288330411","7.50797365963691","7.46853810726936","7.42800296655477","7.40528795770264","7.39748083038498","7.3899979956293","7.36301801600863","7.22740920096852","7.05968773712626","6.88648046124777","6.75516247160081","6.69823215073365","6.73875512908921","6.84895384036263","6.99246990466332","7.11136815641469","7.16900362900288","7.18209734891536","7.1430329608009","7.06124348162263","6.95620650221836","6.83943363561014","6.71060773394115","6.56780551096556","6.40867174858168","6.22834476447759","6.02402859762042","5.81003326875698","5.59161021963903","5.37985381606713","5.19041718854084","5.0279860415299","4.86566291337715","4.73129179029905","4.62178152954034","4.53011101851586","4.4509831350328",
